method,round,accuracy_mean,accuracy_std,loss_mean,loss_std,selected_clients_mean,selected_clients_std,safe_clients_mean,safe_clients_std,client_uploads_mean,client_uploads_std,cloud_uploads_mean,cloud_uploads_std,payload_to_edge_scalars_mean,payload_to_edge_scalars_std,payload_to_cloud_scalars_mean,payload_to_cloud_scalars_std,payload_to_edge_bytes_mean,payload_to_edge_bytes_std,payload_to_cloud_bytes_mean,payload_to_cloud_bytes_std,total_payload_bytes_mean,total_payload_bytes_std,energy_proxy_mean,energy_proxy_std,mean_selected_latency_ms_mean,mean_selected_latency_ms_std,max_selected_latency_ms_mean,max_selected_latency_ms_std,mean_train_time_proxy_ms_mean,mean_train_time_proxy_ms_std,round_latency_proxy_ms_mean,round_latency_proxy_ms_std,filtered_updates_mean,filtered_updates_std,selection_fairness_mean,selection_fairness_std,attack_clients_mean,attack_clients_std,blocked_adversarial_mean,blocked_adversarial_std,accepted_adversarial_mean,accepted_adversarial_std,blocked_benign_mean,blocked_benign_std,security_recall_mean,security_recall_std,filter_precision_mean,filter_precision_std,benign_retention_mean,benign_retention_std,communication_reduction_mean,communication_reduction_std,safe_client_ratio_mean,safe_client_ratio_std
hierarchical_intelligent_no_fairness,5,0.6425925890604655,0.06384192511544179,0.9518910845120748,0.09949470403126263,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,63.64079366821783,8.628821436878994,47.75,10.109298524955461,96.66666666666667,13.224556283251582,68.64,1.6983128883296688,106.66666666666667,13.224556283251582,2,0.0,0.4568481164225845,0.04428779692427485,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
hierarchical_intelligent_no_fairness,6,0.6712963183720907,0.0819117395407534,0.8772983948389689,0.10065068618352856,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,62.371428613604245,7.204279697621454,44.666666666666664,8.016476089210826,100.66666666666667,13.912424503139471,67.94666666666667,4.273993708725158,110.66666666666667,13.912424503139471,2,0.0,0.453781512605042,0.042782931298681846,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
hierarchical_intelligent_no_fairness,7,0.7472222248713175,0.027498618989265523,0.6882193088531494,0.06703442111473103,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,73.25420320919321,8.899261130973548,44.875,4.424128916144586,110.0,6.97614984548545,70.02666666666667,3.9220856129813906,120.0,6.97614984548545,2,0.0,0.4564930775177454,0.039958935763810516,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
hierarchical_intelligent_no_fairness,8,0.7740740776062012,0.05594002637662648,0.6084060072898865,0.10837290221593038,8,0.0,6,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,68.56967903078137,11.01237084948671,48.291666666666664,11.545351397375867,103.0,16.753109164172084,68.64,2.941564209736042,113.0,16.753109164172084,2,0.0,0.46374302753364166,0.03467476716465801,2,0.0,2,0.0,0,0.0,0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.0,0.75,0.0
hierarchical_intelligent_no_filter,1,0.09814814974864323,0.014404026165623498,2.660420020421346,0.013414009493282418,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,66.08276059068221,11.561732269244786,40.583333333333336,0.7795119555779044,91.66666666666667,10.873004286866728,71.41333333333334,1.9610428064906935,101.66666666666667,10.873004286866728,0,0.0,0.4,0.0,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_no_filter,2,0.10833333432674408,0.002268045922946493,5.100009044011434,1.2381557496803537,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,78.63482995934402,18.50063119572084,63.5,3.679900360969936,111.0,9.201449161228174,66.56,4.493313550896121,121.0,9.201449161228174,0,0.0,0.6443097643097643,0.05287151685984238,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_no_filter,3,0.10740740845600764,0.0013094569241475908,8.124098459879557,2.298879078489734,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,83.9115168043396,26.33856736071581,44.416666666666664,6.385476141647978,99.66666666666667,5.792715732327589,72.8,0.0,109.66666666666667,5.792715732327589,0,0.0,0.6268774703557313,0.022275103246806916,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_no_filter,4,0.10740740845600764,0.0013094569241475908,12.448609987894693,2.065191150818691,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,109.00177106834967,35.89494972948324,53.583333333333336,8.442411122159093,96.66666666666667,24.567367696917707,67.94666666666667,2.5942157881632637,106.66666666666667,24.567367696917707,0,0.0,0.6749317738791423,0.029044389493826914,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_no_filter,5,0.10740740845600764,0.0013094569241475908,22.6087163289388,4.657071867079654,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,110.25731661993483,22.589116496736555,44.458333333333336,5.035636890095322,105.66666666666667,14.29063407348401,70.72,1.6983128883296745,115.66666666666667,14.29063407348401,0,0.0,0.6635180558848022,0.018979406063086082,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
hierarchical_intelligent_no_filter,6,0.10740740845600764,0.0013094569241475908,42.32441775004069,9.568672724997356,8,0.0,8,0.0,8,0.0,2,0.0,19280,0.0,4820,0.0,77120,0.0,19280,0.0,96400,0.0,132.78276519167093,34.0362436292736,51.833333333333336,3.3561717609337114,102.0,5.656854249492381,70.02666666666667,3.5353201960909946,112.0,5.656854249492381,0,0.0,0.6861612978406477,0.01738268220389615,2,0.0,0,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.75,0.0,1.0,0.0
